title,s_img,scrible,author,publisher,pub_date,price,score,num
也许你该找个人聊聊(Maybe You Should Talk to Someone),https://img3.doubanio.com/view/subject/s/public/s33944153.jpg,无,[美]洛莉·戈特利布,上海文化出版社,2021-07-28,68.0,9.0,52884
罪与罚(Преступление и наказание),https://img9.doubanio.com/view/subject/s/public/s1790246.jpg,描绘人内心的全部深度,[俄] 陀思妥耶夫斯基,上海译文出版社,2006-08-01,23.0,9.3,36794
棋王·树王·孩子王(无),https://img3.doubanio.com/view/subject/s/public/s28688273.jpg,无,阿城,江苏凤凰文艺出版社,2016-03-01,58.0,9.3,30401
毛泽东选集 第一卷(无),https://img2.doubanio.com/view/subject/s/public/s1106951.jpg,无,毛泽东,人民出版社,1991-06-01,40.0,9.6,30809
道德经(无),https://img2.doubanio.com/view/subject/s/public/s1045431.jpg,中国历史上首部完整的哲学著作,黄元吉,陕西人民出版社,1996-10-01,4.5,9.5,21067
冬牧场(无),https://img2.doubanio.com/view/subject/s/public/s8958901.jpg,阿勒泰的精灵,李娟,新星出版社,2012-06-01,29.8,9.1,42284
呼兰河传(无),https://img1.doubanio.com/view/subject/s/public/s1167060.jpg,萧红的童年往事,萧红,百花文艺出版社,2005-01-01,19.0,9.0,85732
绝叫(絕叫),https://img3.doubanio.com/view/subject/s/public/s33685372.jpg,无,[日] 叶真中显,北京联合出版公司,2020-07-01,58.0,8.9,113021
人间词话(无),https://img9.doubanio.com/view/subject/s/public/s1146614.jpg,以新眼光评旧文学,王国维,上海古籍出版社,1998-12-01,9.8,9.1,56100
文学回忆录(无),https://img1.doubanio.com/view/subject/s/public/s24611679.jpg,木心留给世界的礼物,木心 口述,广西师范大学出版社,2013-01-10,98.0,9.1,45063
窗边的小豆豆(窓ぎわのトットちゃん),https://img2.doubanio.com/view/subject/s/public/s1067911.jpg,真正懂孩子的教育经,[日] 黑柳彻子 著,南海出版公司,2003-01-01,20.0,8.8,215236
最好的告别(Being Mortal: Medicine and What Matters in the End),https://img3.doubanio.com/view/subject/s/public/s28260907.jpg,关于衰老与死亡，你必须知道的常识,[美] 阿图·葛文德（Atul Gawande）,浙江人民出版社,2015-07-31,54.9,9.0,52442
灿烂千阳(A Thousand Splendid Suns),https://img9.doubanio.com/view/subject/s/public/s2651394.jpg,唯有希望与爱可以驱散阴霾,[美] 卡勒德·胡赛尼,上海人民出版社,2007-09-01,28.0,8.9,124758
哭泣的骆驼(无),https://img9.doubanio.com/view/subject/s/public/s1020454.jpg,沙漠中寻常的生与死,三毛,哈尔滨出版社,2003-06-01,15.8,9.0,58238
美的历程(无),https://img3.doubanio.com/view/subject/s/public/s3893343.jpg,中国美学经典之作,李泽厚,生活·读书·新知三联书店,2009-07-01,43.0,9.3,33245
唐诗三百首(无),https://img1.doubanio.com/view/subject/s/public/s1008848.jpg,熟读唐诗三百首，不会吟诗也会吟,蘅塘退士,中华书局,1984-07-01,0.65,9.4,27939
一个叫欧维的男人决定去死(En Man Som Heter Ove),https://img1.doubanio.com/view/subject/s/public/s29847168.jpg,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2015-12-01,35.0,9.1,71673
上帝掷骰子吗(无),https://img9.doubanio.com/view/subject/s/public/s1486674.jpg,量子物理史话,曹天元,辽宁教育出版社,2006-01-01,32.0,9.2,35447
四世同堂(无),https://img1.doubanio.com/view/subject/s/public/s3228699.jpg,北平沦陷时代广大平民的悲惨遭遇,老舍,北京十月文艺出版社,2008-07-01,36.0,9.4,42027
历史深处的忧虑(无),https://img9.doubanio.com/view/subject/s/public/s1768916.jpg,窥见美国社会的一扇窗,林达,生活·读书·新知三联书店,1997-05-01,19.0,9.0,46485
神雕侠侣(神鵰俠侶),https://img9.doubanio.com/view/subject/s/public/s26018916.jpg,至情至性，情大于武,金庸,生活·读书·新知三联书店,1994-05-01,76.8,8.9,102535
"美丽新世界(BRAVE NEW WORLD,  BRAVE NEW WORLD REVISITED)",https://img9.doubanio.com/view/subject/s/public/s29477615.jpg,无,【英】奥尔德斯·赫胥黎,上海译文出版社,2017-06-01,45.0,9.2,60809
永恒的终结(The End of Eternity),https://img2.doubanio.com/view/subject/s/public/s27409671.jpg,关于时间旅行的终极奥秘和恢宏构想,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014-09-01,32.0,9.1,49349
始于极限(往復書簡 限界から始まる),https://img9.doubanio.com/view/subject/s/public/s34300626.jpg,无,[日] 上野千鹤子,新星出版社,2022-09-20,59.0,9.0,75567
诗经(无),https://img3.doubanio.com/view/subject/s/public/s1979223.jpg,思无邪,孔丘,北京出版社,2006-07-01,19.9,9.5,29385
悲惨世界（上中下）(Les Misérables),https://img9.doubanio.com/view/subject/s/public/s4521754.jpg,现实主义与浪漫主义的至高杰作,[法] 雨果,人民文学出版社,1992-06-01,66.0,9.1,64648
傲慢与偏见(Pride and Prejudice),https://img3.doubanio.com/view/subject/s/public/s4250062.jpg,所有现代言情小说的母体,[英] 奥斯丁,人民文学出版社,1993-07-01,13.0,8.9,235635
台北人(无),https://img9.doubanio.com/view/subject/s/public/s4526465.jpg,白先勇短篇小说集,白先勇,广西师范大学出版社,2010-10-01,38.0,9.0,76252
太白金星有点烦(无),https://img9.doubanio.com/view/subject/s/public/s34544956.jpg,无,马伯庸,湖南文艺出版社,2023-06-01,45.0,9.0,105534
黄金时代(无),https://img3.doubanio.com/view/subject/s/public/s1076372.jpg,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,王小波,花城出版社,1999-03-01,19.0,8.9,168954
可能性的艺术(无),https://img2.doubanio.com/view/subject/s/public/s34192061.jpg,无,刘瑜,广西师范大学出版社,2022-04-01,82.0,9.2,43336
史记（全十册）(无),https://img9.doubanio.com/view/subject/s/public/s1953384.jpg,史家之绝唱，无韵之离骚,司马迁,中华书局,1982-11-01,125.0,9.6,25535
鼠疫(La Peste),https://img2.doubanio.com/view/subject/s/public/s27003191.jpg,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,[法] 阿尔贝·加缪,上海译文出版社,2013-08-01,34.0,9.1,83077
嫌疑人X的献身(容疑者Xの献身),https://img9.doubanio.com/view/subject/s/public/s3254244.jpg,数学好是一种极致的浪漫,[日本] 东野圭吾,南海出版公司,2008-09-01,28.0,8.9,530888
